Direction,Angle
CCW,-0.60
CCW,-0.60
CCW,-0.60
CCW,-0.60
CCW,-0.60
CCW,-0.60
CCW,-0.60
CW,0.00
CW,41.40
CCW,78.60
CCW,132.00
CW,184.80
CW,262.80
CW,294.60
CW,355.20
CW,57.60
CW,144.00
CW,211.80
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CW,237.00
CCW,208.20
CCW,75.00
CCW,-67.20
CCW,-212.40
CW,-16.80
CCW,-159.60
CW,-100.20
CW,112.20
CW,151.20
CW,309.00
CW,77.40
CW,124.80
CW,277.80
CW,135.60
CW,273.00
CCW,355.20
CW,119.40
CW,227.40
CW,90.60
CW,304.20
CW,242.40
CW,132.60
CW,33.60
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CW,204.00
CCW,127.20
CCW,-123.00
CCW,-78.00
CCW,-1.20
CCW,-238.20
CCW,-198.00
CCW,-180.00
CCW,-137.40
CCW,-10.80
CCW,-114.00
CCW,-24.60
CW,346.20
CW,202.80
CW,317.40
CW,138.00
CW,148.80
